,budget,company,country,director,genre,gross,name,rating,star,year
2333,25000000,Columbia Pictures Corporation,USA,Ringo Lam,Action,14502483,Maximum Risk,R,Jean-Claude Van Damme,1996
2334,30000000,United Artists Pictures,USA,Howard Franklin,Comedy,8289972,Larger Than Life,PG,Bill Murray,1996
2336,21500000,Peters Entertainment,USA,Peter Segal,Adventure,22294341,My Fellow Americans,PG-13,Jack Lemmon,1996
2337,25000000,New Line Cinema,UK,Steve Barron,Adventure,15094530,The Adventures of Pinocchio,G,Martin Landau,1996
2338,7000000,British Broadcasting Corporation (BBC),UK,Michael Winterbottom,Drama,405144,Jude,R,Christopher Eccleston,1996
2341,47000000,NFH Productions,USA,Stephen Frears,Drama,5600000,Mary Reilly,R,Julia Roberts,1996
2343,8000000,Miramax,USA,Matt Reeves,Comedy,5612586,The Pallbearer,PG-13,David Schwimmer,1996
2344,38000000,Castle Rock Entertainment,USA,Michael Apted,Crime,17305211,Extreme Measures,R,Hugh Grant,1996
2346,1300000,Addis Wechsler Pictures,USA,Steve Buscemi,Comedy,695229,Trees Lounge,R,Steve Buscemi,1996
2347,3000000,Independent Pictures (II),USA,Alexander Payne,Comedy,153155,Citizen Ruth,R,Laura Dern,1996
2348,35000000,Caravan Pictures,USA,Barbet Schroeder,Crime,8797839,Before and After,PG-13,Meryl Streep,1996
2351,24000000,Longview Entertainment,USA,Bill CouturiÈ,Comedy,6288000,Ed,PG,Matt LeBlanc,1996
2353,18000000,Dino De Laurentiis Company,USA,John Dahl,Drama,2780278,Unforgettable,R,Ray Liotta,1996
2355,50000000,Universal Pictures,USA,James Foley,Crime,14551359,The Chamber,R,Chris O'Donnell,1996
2356,15000000,New Line Cinema,USA,Farhad Mann,Action,2409225,Lawnmower Man 2: Beyond Cyberspace,PG-13,Patrick Bergin,1996
2359,40000000,Castle Rock Entertainment,USA,Harold Becker,Drama,20200000,City Hall,R,Al Pacino,1996
2361,23000000,Castle Rock Entertainment,USA,Fraser C. Heston,Adventure,11567023,Alaska,PG,Thora Birch,1996
2363,5000000,Renaissance Films,Ireland,Trevor Nunn,Comedy,551545,Twelfth Night or What You Will,PG,Helena Bonham Carter,1996
2364,25000000,Metro-Goldwyn-Mayer (MGM),USA,Kevin Hooks,Action,17100000,Fled,R,Laurence Fishburne,1996
2366,12500000,October Films,USA,Abel Ferrara,Crime,1227324,The Funeral,R,Christopher Walken,1996
2368,12000000,Fox Searchlight Pictures,USA,Spike Lee,Comedy,4903000,Girl 6,R,Theresa Randle,1996
2369,2309723,A Band Apart,USA,Reb Braddock,Comedy,49620,Curdled,R,William Baldwin,1996
2370,22000000,Recorded Picture Company (RPC),USA,Bob Rafelson,Crime,1075288,Blood and Wine,R,Jack Nicholson,1996
2371,25000000,PVM Entertainment,USA,Phil Joanou,Drama,5005000,Heaven's Prisoners,R,Alec Baldwin,1996
2373,30000000,Permut Presentations,USA,Steve Rash,Comedy,31356117,Eddie,PG-13,Whoopi Goldberg,1996
2374,8000000,Bruin Grip Services,USA,Larry Bishop,Comedy,80026,Mad Dog Time,R,Ellen Barkin,1996
2375,25000000,Imagine Entertainment,UK,John Landis,Comedy,2415593,The Stupids,PG,Tom Arnold,1996
2377,25000000,TriStar Pictures,USA,Richard Benjamin,Comedy,10070000,Mrs. Winterbourne,PG-13,Shirley MacLaine,1996
2382,5000000,Albino Alligator Productions,USA,Kevin Spacey,Crime,326308,Albino Alligator,R,Matt Dillon,1996
2384,500000,Pope Productions,USA,Lisa Krueger,Comedy,502313,Manny & Lo,R,Scarlett Johansson,1996
2385,17000000,Regency Enterprises,USA,Arthur Hiller,Comedy,3308758,Carpool,PG,Tom Arnold,1996
2386,6000000,Fine Line Features,USA,Keith Gordon,Drama,392362,Mother Night,R,Nick Nolte,1996
2393,16000000,Merchant Ivory Productions,USA,James Ivory,Biography,2002000,Surviving Picasso,R,Anthony Hopkins,1996
2394,24000000,Fernando Trueba Producciones Cinematogr·ficas,Spain,Fernando Trueba,Comedy,592871,Two Much,PG-13,Antonio Banderas,1996
2400,30000000,New Regency Pictures,USA,Norman Jewison,Comedy,4357000,Bogus,PG,Whoopi Goldberg,1996
2404,19000000,CiBy 2000,France,Robert Altman,Crime,1353824,Kansas City,R,Jennifer Jason Leigh,1996
2411,5000000,Motion Picture Corporation of America (MPCA),USA,Eric Schaeffer,Comedy,4635344,If Lucy Fell,R,Sarah Jessica Parker,1996
2412,7000000,Twentieth Century Fox Film Corporation,UK,Christopher Hampton,Drama,106606,The Secret Agent,R,Bob Hoskins,1996
2416,6000000,Castle Rock Entertainment,USA,Lee David Zlotoff,Drama,12643776,The Spitfire Grill,PG-13,Alison Elliott,1996
2417,19000000,Triumph Films,Mexico,Norberto Barba,Action,4932915,Solo,PG-13,Mario Van Peebles,1996
2420,200000000,Twentieth Century Fox Film Corporation,USA,James Cameron,Drama,658672302,Titanic,PG-13,Leonardo DiCaprio,1997
2421,10000000,Be Gentlemen Limited Partnership,USA,Gus Van Sant,Drama,138433435,Good Will Hunting,R,Robin Williams,1997
2422,93000000,Gaumont,France,Luc Besson,Action,63540020,The Fifth Element,PG-13,Bruce Willis,1997
2423,80000000,Tig Productions,USA,Kevin Costner,Action,17626234,The Postman,R,Kevin Costner,1997
2424,85000000,Walt Disney Pictures,USA,Ron Clements,Animation,99046791,Hercules,G,Tate Donovan,1997
2425,20000000,Melampo Cinematografica,Italy,Roberto Benigni,Comedy,57598247,Life Is Beautiful,PG-13,Roberto Benigni,1997
2426,105000000,TriStar Pictures,USA,Paul Verhoeven,Action,54814377,Starship Troopers,R,Casper Van Dien,1997
2427,90000000,Warner Bros.,USA,Robert Zemeckis,Drama,100920329,Contact,PG,Jodie Foster,1997
2428,62000000,Guild,USA,Adrian Lyne,Drama,1400000,Lolita,R,Jeremy Irons,1997
2429,75000000,Touchstone Pictures,USA,Simon West,Action,101117573,Con Air,R,Nicolas Cage,1997
2430,15000000,New Line Cinema,USA,Paul Thomas Anderson,Drama,26400640,Boogie Nights,R,Mark Wahlberg,1997
2431,90000000,Columbia Pictures Corporation,USA,Barry Sonnenfeld,Adventure,250690539,Men in Black,PG-13,Tommy Lee Jones,1997
2432,35000000,Regency Enterprises,USA,Curtis Hanson,Crime,64616940,L.A. Confidential,R,Kevin Spacey,1997
2433,125000000,Warner Bros.,USA,Joel Schumacher,Action,107325195,Batman & Robin,PG-13,Arnold Schwarzenegger,1997
2434,80000000,Permut Presentations,USA,John Woo,Action,112225777,Face/Off,R,John Travolta,1997
2435,50000000,Polygram Filmed Entertainment,USA,David Fincher,Drama,48323648,The Game,R,Michael Douglas,1997
