,budget,company,country,director,genre,gross,name,rating,star,year
0,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,Wil Wheaton,1986
1,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,Matthew Broderick,1986
2,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,Tom Cruise,1986
3,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,Sigourney Weaver,1986
4,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,Joey Cramer,1986
5,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,Charlie Sheen,1986
6,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,David Bowie,1986
7,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,Isabella Rossellini,1986
8,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,Molly Ringwald,1986
9,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,Jeff Goldblum,1986
10,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,Paul Hogan,1986
11,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,Christopher Lambert,1986
12,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,Corey Haim,1986
13,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,Kurt Russell,1986
14,15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,William Petersen,1986
15,17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9Ω Weeks,R,Mickey Rourke,1986
16,10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,Emilio Estevez,1986
17,25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,Rick Moranis,1986
18,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,Charlie Sheen,1986
19,35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,Lea Thompson,1986
20,2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,Dee Wallace,1986
21,11000000,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,Rodney Dangerfield,1986
22,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,Dennis Hopper,1986
23,15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,Clint Eastwood,1986
24,25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,William Shatner,1986
28,25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,Eddie Murphy,1986
29,1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,Crispin Glover,1986
30,25000000,L.A. Films,USA,John Landis,Comedy,39246734,°Three Amigos!,PG,Steve Martin,1986
31,25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,Sylvester Stallone,1986
33,24500000,Warner Bros.,UK,Roland JoffÈ,Adventure,17218023,The Mission,PG,Robert De Niro,1986
34,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,Paul Newman,1986
37,6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,Rutger Hauer,1986
38,10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,Tom Hanks,1986
39,3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,Thom Mathews,1986
40,25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,Harrison Ford,1986
42,4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,Gary Oldman,1986
43,10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,Brian Kerwin,1986
44,4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,Jeffrey Combs,1986
45,18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,Kathleen Turner,1986
46,19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,JoBeth Williams,1986
47,1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,Michael Moriarty,1986
50,111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,Michael Rooker,1986
51,18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,Kate Capshaw,1986
52,6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,Mia Farrow,1986
53,14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,Vincent Price,1986
54,8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,Arnold Schwarzenegger,1986
55,6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,Orson Welles,1986
57,5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,Jason Lively,1986
58,12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,Karen Black,1986
60,6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,Gene Hackman,1986
62,6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,Sean Penn,1986
66,20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,Meryl Streep,1986
67,15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,Daryl Hannah,1986
68,12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,Chuck Norris,1986
74,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,Michael Keaton,1986
77,175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,Tracy Camilla Johns,1986
79,8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,Stephen Lang,1986
82,12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,John Candy,1986
83,1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,Tom Waits,1986
84,10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,Bryan Brown,1986
87,18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,John Lithgow,1986
88,5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,Deborah Foreman,1986
89,25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,Richard Jordan,1986
92,40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,Walter Matthau,1986
94,10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,Burt Lancaster,1986
97,12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,Robin Williams,1986
98,2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,Todd Allen,1986
99,14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,Nick Nolte,1986
100,8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,Helena Bonham Carter,1986
104,18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,Jeff Bridges,1986
111,8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,Chuck Norris,1986
113,3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,Chris Makepeace,1986
117,15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,Robin Williams,1986
118,40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,Robert Redford,1986
121,13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,Danny DeVito,1986
126,17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,Sean Penn,1986
127,16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,Richard Gere,1986
129,20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,Diane Keaton,1986
133,6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,Charles Bronson,1986
139,4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,Michael Dudikoff,1986
145,18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,Blythe Danner,1986
157,25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,Bryan Brown,1986
159,17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,Burt Reynolds,1986
166,14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,Richard Pryor,1986
168,3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,Mike Norris,1986
169,10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,Judd Nelson,1986
182,2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,Victor Love,1986
199,18000000,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,PG,Scott McGinnis,1986
200,1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,R,David Carradine,1986
220,16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,Cary Elwes,1987
221,1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,Andrew Robinson,1987
222,30000000,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,Matthew Modine,1987
223,6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,Patrick Swayze,1987
225,15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,Arnold Schwarzenegger,1987
226,27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,Arnold Schwarzenegger,1987
227,22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,Mel Brooks,1987
228,13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,Peter Weller,1987
229,15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,Mel Gibson,1987
230,25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,Kevin Costner,1987
231,3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,Bruce Campbell,1987
232,22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,Dolph Lundgren,1987
233,12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,Andre Gower,1987
234,14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,Michael Douglas,1987
235,30000000,Eon Productions,UK,John Glen,Action,51185897,The Living Daylights,PG,Timothy Dalton,1987
236,15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,Charlie Sheen,1987
237,35000000,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,Christian Bale,1987
239,22000000,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,R,Jack Nicholson,1987
241,4500000,New Line Cinema,USA,Chuck Russell,Action,44793222,A Nightmare on Elm Street 3: Dream Warriors,R,Heather Langenkamp,1987
244,23000000,Universal Pictures,USA,Joseph Sargent,Adventure,20763013,Jaws: The Revenge,PG-13,Lorraine Gary,1987
245,25000000,Cannon Group,USA,Menahem Golan,Action,16057580,Over the Top,PG,Sylvester Stallone,1987
246,30000000,Paramount Pictures,USA,John Hughes,Comedy,49530280,"Planes, Trains & Automobiles",R,Steve Martin,1987
247,6000000,Circle Films,USA,Joel Coen,Comedy,22847564,Raising Arizona,PG-13,Nicolas Cage,1987
248,17000000,Carolco International N.V.,UK,Alan Parker,Horror,17185632,Angel Heart,R,Mickey Rourke,1987
250,6000000,Gladden Entertainment,USA,Michael Gottlieb,Comedy,42721196,Mannequin,PG,Andrew McCarthy,1987
252,27000000,Warner Bros.,USA,Joe Dante,Action,25893810,Innerspace,PG,Dennis Quaid,1987
253,15000000,Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,80640528,Moonstruck,PG,Cher,1987
254,28000000,Paramount Pictures,USA,Tony Scott,Action,153665000,Beverly Hills Cop II,R,Eddie Murphy,1987
256,23000000,Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,43984230,The Last Emperor,PG-13,John Lone,1987
257,13000000,Touchstone Pictures,USA,Barry Levinson,Biography,123922370,"Good Morning, Vietnam",R,Robin Williams,1987
258,2600000,Merchant Ivory Productions,UK,James Ivory,Drama,3130592,Maurice,R,James Wilby,1987
259,11000000,Interscope Communications,USA,Leonard Nimoy,Comedy,167780960,3 Men and a Baby,PG,Tom Selleck,1987
260,3000000,Alive Films,USA,John Carpenter,Horror,14182492,Prince of Darkness,R,Donald Pleasence,1987
261,6500000,Columbia Pictures Corporation,USA,Luis Valdez,Biography,54215416,La Bamba,PG-13,Lou Diamond Phillips,1987
262,5000000,F/M,USA,Kathryn Bigelow,Action,3369307,Near Dark,R,Adrian Pasdar,1987
265,15000000,Orion Pictures,USA,Roger Donaldson,Action,35509515,No Way Out,R,Kevin Costner,1987
270,20000000,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,R,William Hurt,1987
271,2500000,New Century Entertainment Corporation,Canada,Tibor Tak·cs,Fantasy,13539458,T˙nel al infierno,PG-13,Stephen Dorff,1987
272,17000000,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,Christopher Reeve,1987
273,3500000,Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,14000000,Creepshow 2,R,George Kennedy,1987
274,3000000,Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,7888703,Teen Wolf Too,PG,Jason Bateman,1987
275,12000000,Columbia Pictures Industries,USA,Fred Schepisi,Comedy,40050884,Roxanne,PG,Steve Martin,1987
276,12000000,Rastar Pictures,USA,Herbert Ross,Comedy,66995879,The Secret of My Succe$s,PG-13,Michael J. Fox,1987
277,20000000,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,Dan Aykroyd,1987
279,18000000,TriStar Pictures,USA,Blake Edwards,Comedy,39321715,Blind Date,PG-13,Kim Basinger,1987
282,1000000,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,Anthony Newley,1987
283,14000000,Orion Pictures,USA,Danny DeVito,Comedy,57915972,Throw Momma from the Train,PG-13,Danny DeVito,1987
287,3000000,Golan-Globus Productions,USA,Barbet Schroeder,Comedy,3221568,Barfly,R,Mickey Rourke,1987
288,6000000,Universal Pictures,USA,Phil Joanou,Comedy,3685862,Three O'Clock High,PG-13,Casey Siemaszko,1987
291,15000000,Amercent Films,USA,James Toback,Comedy,13290368,The Pick-up Artist,PG-13,Molly Ringwald,1987
292,16000000,Orion Pictures,USA,Woody Allen,Comedy,14792779,Radio Days,PG,Mia Farrow,1987
294,3000000,Emshell Producers,USA,John R. Cherry III,Comedy,23509382,Ernest Goes to Camp,PG,Jim Varney,1987
296,17000000,Columbia Pictures Corporation,USA,Ridley Scott,Crime,10278549,Someone to Watch Over Me,R,Tom Berenger,1987
298,29000000,Universal Pictures,UK,Richard Attenborough,Biography,5899797,Cry Freedom,PG,Denzel Washington,1987
299,6000000,Fourth Protocol,UK,John Mackenzie,Thriller,12423831,The Fourth Protocol,R,Michael Caine,1987
300,27000000,Home Box Office (HBO),USA,Hector Babenco,Drama,7393346,Ironweed,R,Jack Nicholson,1987
308,5000000,Cannon Group,USA,J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,R,Charles Bronson,1987
309,18000000,Amercent Films,USA,Jonathan Kaplan,Comedy,18532286,Project X,PG,Matthew Broderick,1987
312,4000000,Cannon Films,USA,Ruggero Deodato,Fantasy,800000,The Barbarians,R,David Paul,1987
313,55000000,Columbia Pictures Corporation,USA,Elaine May,Action,14375181,Ishtar,PG-13,Warren Beatty,1987
314,100000,Conquering Unicorn,USA,Robert Townsend,Comedy,5228617,Hollywood Shuffle,R,Robert Townsend,1987
323,22000000,Carolco Entertainment,USA,Walter Hill,Action,11307844,Extreme Prejudice,R,Nick Nolte,1987
324,350000,Cannon Group,USA,Sam Firstenberg,Action,4000000,American Ninja 2: The Confrontation,R,Michael Dudikoff,1987
325,4000000,Cinecom Entertainment Group,USA,John Sayles,Drama,1680358,Matewan,PG-13,Chris Cooper,1987
327,24000000,Columbia Pictures,USA,Paul Weiland,Action,4916871,Leonard Part 6,PG,Bill Cosby,1987
328,5000000,Golan-Globus Productions,USA,Jerry Schatzberg,Crime,1119112,Street Smart,R,Christopher Reeve,1987
330,9000000,Gladden Entertainment,USA,Michael Cimino,Action,5406879,The Sicilian,R,Christopher Lambert,1987
340,7000000,De Laurentiis Entertainment Group (DEG),USA,Bob Giraldi,Comedy,7019441,Hiding Out,PG-13,Jon Cryer,1987
342,10000000,Orion Pictures,USA,Harley Cokeliss,Action,3060858,Malone,R,Burt Reynolds,1987
345,6000000,"Samuel Goldwyn Company, The",UK,Mike Hodges,Action,1432687,A Prayer for the Dying,R,Mickey Rourke,1987
352,5300000,Columbia Pictures,UK,Michael Radford,Crime,3107551,White Mischief,R,Sarah Miles,1987
353,10000000,Rollins-Joffe Productions,USA,Woody Allen,Drama,486434,September,PG,Elaine Stritch,1987
355,3520000,Independent Film Centre,USA,Lance Hool,Action,562187,Steel Dawn,R,Patrick Swayze,1987
356,1300000,Empire Pictures,USA,Renny Harlin,Crime,354704,Prison,R,Lane Smith,1987
357,25000000,Warner Bros.,USA,Martin Ritt,Drama,30950002,Nuts,R,Barbra Streisand,1987
358,11000000,Bandai Films,USA,Barry Levinson,Comedy,25411386,Tin Men,R,Richard Dreyfuss,1987
360,7500000,De Laurentiis Entertainment Group (DEG),USA,William Friedkin,Drama,796368,Rampage,R,Michael Biehn,1987
370,3000000,Vista Organization,USA,Amy Holden Jones,Fantasy,9868521,Maid to Order,PG,Ally Sheedy,1987
372,1000000,Commies From Mars Corporation,UK,Alex Cox,Action,210200,Straight to Hell,R,Sy Richardson,1987
376,100000,Silent Night Releasing Corporation,USA,Lee Harry,Horror,154323,"Silent Night, Deadly Night 2",R,Eric Freeman,1987
378,8000000,De Laurentiis Entertainment Group (DEG),USA,Tom McLoughlin,Comedy,1988962,Date with an Angel,PG,Phoebe Cates,1987
379,5800000,In-Cine CompaÒÌa Industrial Cinematogr·fica,USA,Alex Cox,Biography,257043,Walker,R,Ed Harris,1987
382,19000000,TriStar Pictures,USA,Roger Young,Action,2228951,The Squeeze,PG-13,Michael Keaton,1987
384,5000000,Golan-Globus Productions,USA,Peter R. Hunt,Action,6075793,Assassination,PG-13,Charles Bronson,1987
385,75000,Titan Productions,USA,David DeCoteau,Horror,13133,Creepozoids,R,Linnea Quigley,1987
387,12000000,TriStar Pictures,USA,Robert Benton,Comedy,5669831,Nadine,PG,Jeff Bridges,1987
393,1100000,Conquest Productions,USA,Jeff Burr,Action,1355728,From a Whisper to a Scream,R,Vincent Price,1987
397,5000000,Golan-Globus Productions,USA,Norman Mailer,Comedy,858250,Tough Guys Don't Dance,R,Ryan O'Neal,1987
399,4000000,New World Entertainment Films,USA,Bill Condon,Drama,743445,"Sister, Sister",R,Eric Stoltz,1987
403,15000000,Cannon Group,USA,Jerry Belson,Comedy,5711976,Surrender,PG,Sally Field,1987
411,14000000,Paramount Pictures,USA,Michael Apted,Comedy,20240502,Critical Condition,R,Richard Pryor,1987
423,12000000,De Laurentiis Entertainment Group (DEG),USA,John D. Hancock,Drama,2325444,Weeds,R,Nick Nolte,1987
440,15000000,"Geffen Company, The",USA,Tim Burton,Comedy,73707461,Beetlejuice,PG,Alec Baldwin,1988
441,39000000,Eddie Murphy Productions,USA,John Landis,Comedy,128152300,Coming to America,R,Eddie Murphy,1988
442,9000000,United Artists,USA,Tom Holland,Horror,33244684,Child's Play,R,Catherine Hicks,1988
443,28000000,Twentieth Century Fox Film Corporation,USA,John McTiernan,Action,83008852,Die Hard,R,Bruce Willis,1988
444,35000000,Metro-Goldwyn-Mayer (MGM),USA,Ron Howard,Action,57269863,Willow,PG,Val Kilmer,1988
445,3000000,New World Pictures,USA,Michael Lehmann,Comedy,1108462,Heathers,R,Winona Ryder,1988
446,25000000,United Artists,USA,Barry Levinson,Drama,172825435,Rain Man,R,Dustin Hoffman,1988
447,4000000,Alive Films,USA,John Carpenter,Action,13008928,They Live,R,Roddy Piper,1988
448,70000000,Touchstone Pictures,USA,Robert Zemeckis,Animation,156452370,Who Framed Roger Rabbit,PG,Bob Hoskins,1988
450,18000000,American Entertainment Partners II L.P.,USA,Penny Marshall,Comedy,114968774,Big,PG,Tom Hanks,1988
451,20000000,Touchstone Pictures,USA,Roger Donaldson,Comedy,78222753,Cocktail,R,Tom Cruise,1988
452,5000000,Cristaldifilm,Italy,Giuseppe Tornatore,Drama,11990401,Cinema Paradiso,R,Philippe Noiret,1988
453,19000000,TriStar Pictures,USA,Chuck Russell,Horror,8247943,The Blob,R,Shawnee Smith,1988
454,3500000,De Laurentiis Entertainment Group (DEG),USA,Stan Winston,Fantasy,4385516,Pumpkinhead,R,Lance Henriksen,1988
455,7500000,Metro-Goldwyn-Mayer (MGM),UK,Charles Crichton,Comedy,63493712,A Fish Called Wanda,R,John Cleese,1988
456,2000000,Sarlui / Diamant,USA,Stephen Chiodo,Comedy,15625095,Killer Klowns from Outer Space,PG-13,Grant Cramer,1988
457,30000000,Universal Pictures,USA,Martin Brest,Action,38413606,Midnight Run,R,Robert De Niro,1988
458,3000000,Film Futures,UK,Tony Randel,Horror,11090735,Hellbound: Hellraiser II,R,Doug Bradley,1988
459,15000000,Orion Pictures,USA,Alan Parker,Crime,34603943,Mississippi Burning,R,Gene Hackman,1988
460,12000000,Paramount Pictures,USA,David Zucker,Comedy,78041829,The Naked Gun: From the Files of Police Squad!,PG-13,Leslie Nielsen,1988
461,1100000,Cannon International,USA,Newt Arnold,Action,11806119,Bloodsport,R,Jean-Claude Van Damme,1988
462,28000000,Twentieth Century Fox Film Corporation,USA,Mike Nichols,Comedy,64000000,Working Girl,R,Melanie Griffith,1988
463,14000000,Paramount Pictures,Australia,John Cornell,Action,109305000,Crocodile Dundee II,PG,Paul Hogan,1988
464,12500000,Universal Pictures,USA,Don Bluth,Animation,48092846,The Land Before Time,G,Pat Hingle,1988
465,15000000,Universal Pictures,USA,Ivan Reitman,Comedy,111936400,Twins,PG,Arnold Schwarzenegger,1988
466,14000000,Lorimar Film Entertainment,USA,Stephen Frears,Drama,34700000,Dangerous Liaisons,R,Glenn Close,1988
467,17000000,The Saul Zaentz Company,USA,Philip Kaufman,Drama,10006806,The Unbearable Lightness of Being,R,Daniel Day-Lewis,1988
470,5000000,Trancas International Films,USA,Dwight H. Little,Horror,17768757,Halloween 4: The Return of Michael Myers,R,Donald Pleasence,1988
471,13000000,Morgan Creek Productions,USA,Christopher Cain,Action,45661556,Young Guns,R,Emilio Estevez,1988
472,29000000,Carolco Pictures,USA,Walter Hill,Action,34994648,Red Heat,R,Arnold Schwarzenegger,1988
473,6000000,Night Life Inc.,USA,Donald Petrie,Comedy,12793213,Mystic Pizza,R,Annabeth Gish,1988
474,63000000,Carolco Pictures,USA,Peter MacDonald,Action,53715611,Rambo III,R,Sylvester Stallone,1988
475,6000000,Paramount Pictures,Canada,Jonathan Kaplan,Drama,32069318,Acusados,R,Kelly McGillis,1988
476,7000000,Universal Pictures,Canada,Martin Scorsese,Drama,7630564,The Last Temptation of Christ,R,Willem Dafoe,1988
477,2000000,New Line Cinema,USA,John Waters,Comedy,6671108,Hairspray,PG,Sonny Bono,1988
479,13000000,New Line Cinema,USA,Renny Harlin,Horror,49369899,A Nightmare on Elm Street 4: The Dream Master,R,Robert Englund,1988
481,24000000,Hughes Entertainment,USA,Howard Deutch,Comedy,41455230,The Great Outdoors,PG,Dan Aykroyd,1988
483,7000000,The Mount Company,USA,Ron Shelton,Comedy,50888729,Bull Durham,R,Kevin Costner,1988
484,7500000,Warner Bros.,USA,Andrew Davis,Action,18869631,Above the Law,R,Steven Seagal,1988
485,10000000,De Laurentiis Entertainment Group (DEG),UK,Julien Temple,Comedy,3916303,Earth Girls Are Easy,PG,Geena Davis,1988
486,31000000,Walt Disney Feature Animation,USA,George Scribner,Animation,74151346,Oliver & Company,G,Joey Lawrence,1988
487,31000000,Warner Bros.,USA,Buddy Van Horn,Action,37903295,The Dead Pool,R,Clint Eastwood,1988
488,7500000,NBC Productions,USA,James Signorelli,Comedy,5596267,Elvira: Mistress of the Dark,PG-13,Cassandra Peterson,1988
489,32000000,Paramount Pictures,USA,Richard Donner,Comedy,60328558,Scrooged,PG-13,Bill Murray,1988
490,23000000,Cinema City Films,USA,Robert Towne,Crime,41292551,Tequila Sunrise,R,Mel Gibson,1988
491,20000000,Warner Bros.,USA,Roman Polanski,Crime,17637950,Frantic,R,Harrison Ford,1988
492,2800000,Paramount Pictures,USA,John Carl Buechler,Horror,19170001,Friday the 13th Part VII: The New Blood,R,Jennifer Banko,1988
493,8000000,Twentieth Century Fox Film Corporation,USA,Greg Beeman,Comedy,22433275,License to Drive,PG-13,Corey Haim,1988
494,46630000,Prominent Features,UK,Terry Gilliam,Adventure,8083123,The Adventures of Baron Munchausen,PG,John Neville,1988
495,13000000,Morgan Creek Productions,Canada,David Cronenberg,Drama,9134733,Dead Ringers,R,Jeremy Irons,1988
496,10500000,Metro-Goldwyn-Mayer (MGM),USA,Gary Sherman,Horror,14114488,Poltergeist III,PG-13,Heather O'Rourke,1988
497,7500000,Vista Organization,USA,Tommy Lee Wallace,Comedy,2983784,Fright Night Part 2,R,William Ragsdale,1988
498,3000000,Front Films,USA,Keenen Ivory Wayans,Action,13030057,I'm Gonna Git You Sucka,R,Keenen Ivory Wayans,1988
499,22000000,Zacharias-Buhai Productions,USA,Bud S. Smith,Comedy,17550399,Johnny Be Good,R,Anthony Michael Hall,1988
500,1100000,Shapiro-Glickenhaus Entertainment,USA,William Lustig,Action,671382,Maniac Cop,R,Tom Atkins,1988
501,10000000,Orion Pictures,USA,Jonathan Demme,Comedy,21486757,Married to the Mob,R,Michelle Pfeiffer,1988
502,6000000,Orion Pictures,USA,Dennis Hopper,Action,46616067,Colors,R,Sean Penn,1988
503,17000000,Vision PDG,Ireland,Neil Jordan,Comedy,8578231,El Hotel de los Fantasmas,PG-13,Peter O'Toole,1988
